year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1998,1,1998-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,2,1998-02,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,3,1998-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,4,1998-04,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,5,1998-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,6,1998-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,7,1998-07,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,8,1998-08,2.24000000953674,0.0,2.24000000953674,2.24000000953674,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,9,1998-09,2.49000000953674,0.0,2.49000000953674,2.49000000953674,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,10,1998-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,11,1998-11,4.53000020980835,0.0,4.53000020980835,4.53000020980835,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1998,12,1998-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,1,1999-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,2,1999-02,5.80999994277954,0.0,5.80999994277954,5.80999994277954,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,3,1999-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,4,1999-04,2.94000005722046,0.0,2.94000005722046,2.94000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,5,1999-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,6,1999-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,7,1999-07,1.37999999523163,0.21000003814697002,1.16999995708466,1.5900000333786,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,8,1999-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,9,1999-09,2.45000004768372,0.0,2.45000004768372,2.45000004768372,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,10,1999-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,11,1999-11,5.92000007629395,0.0,5.92000007629395,5.92000007629395,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
1999,12,1999-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,1,2000-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,2,2000-02,6.19000005722046,0.0,6.19000005722046,6.19000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,3,2000-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,4,2000-04,2.38000011444092,0.0,2.38000011444092,2.38000011444092,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,5,2000-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,6,2000-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,7,2000-07,1.37000000476837,0.0,1.37000000476837,1.37000000476837,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,8,2000-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,9,2000-09,1.37999999523163,0.0,1.37999999523163,1.37999999523163,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,10,2000-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,11,2000-11,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2000,12,2000-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,1,2001-01,5.69000005722046,0.0,5.69000005722046,5.69000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,2,2001-02,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,3,2001-03,5.550000111262006,0.0,5.550000111262006,5.550000111262006,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,4,2001-04,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,5,2001-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,6,2001-06,2.38000011444092,0.0,2.38000011444092,2.38000011444092,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,7,2001-07,1.97000002861023,0.0,1.97000002861023,1.97000002861023,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,8,2001-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,9,2001-09,0.649999976158142,0.0,0.649999976158142,0.649999976158142,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,10,2001-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,11,2001-11,6.07000017166138,0.0,6.07000017166138,6.07000017166138,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2001,12,2001-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,1,2002-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,2,2002-02,6.40000009536743,0.0,6.40000009536743,6.40000009536743,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,3,2002-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,4,2002-04,1.86000001430511,0.0,1.86000001430511,1.86000001430511,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,5,2002-05,1.33000004291534,0.0,1.33000004291534,1.33000004291534,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,6,2002-06,1.26749999821186,0.09443912621656447,1.1730608719952955,1.3619391244284245,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,7,2002-07,0.620000004768372,0.0,0.620000004768372,0.620000004768372,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,8,2002-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,9,2002-09,1.64999997615814,0.0,1.64999997615814,1.64999997615814,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,10,2002-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,11,2002-11,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2002,12,2002-12,6.19000005722046,0.0,6.19000005722046,6.19000005722046,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,1,2003-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,2,2003-02,5.30999994277954,0.0,5.30999994277954,5.30999994277954,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,3,2003-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,4,2003-04,5.48999977111816,0.0,5.48999977111816,5.48999977111816,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,5,2003-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,6,2003-06,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,7,2003-07,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,8,2003-08,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,9,2003-09,1.4099999666214,0.0,1.4099999666214,1.4099999666214,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,10,2003-10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,11,2003-11,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2003,12,2003-12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,1,2004-01,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,2,2004-02,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,3,2004-03,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,4,2004-04,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,5,2004-05,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,6,2004-06,1.97000002861023,0.0,1.97000002861023,1.97000002861023,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
2004,7,2004-07,0.921400010585785,0.0,0.921400010585785,0.921400010585785,DO (ml/L),Monthly Dissolved Oxygen at 50 m: NH05 (44.65N -124.18W),44.65223707281398,-124.17503907468104,50.0,1.0
